#Day,Creative ID,Country,Bids,Bids in auction,Reached queries
12/1/25,144609,Indonesia,14,0,0
12/1/25,144610,Indonesia,14,0,0
12/1/25,144611,Indonesia,6,0,0
12/1/25,144612,Indonesia,318,0,0
12/1/25,144613,Indonesia,347,0,0
12/1/25,144614,Indonesia,341,0,0
12/1/25,144615,Indonesia,331,0,0
12/1/25,144616,Indonesia,359,0,0
12/1/25,144617,Indonesia,368,0,0
12/1/25,144618,Indonesia,322,0,0
12/1/25,144619,United States,42,0,0
12/1/25,144620,United States,51,0,0
12/1/25,144621,United States,52,0,0
12/1/25,144622,United States,21613,0,0
12/1/25,144623,United States,21364,0,0
12/1/25,144624,United States,21761,0,0
12/1/25,144625,United States,21473,0,0
12/1/25,144626,United States,21832,0,0
12/1/25,144627,United States,21451,0,0
12/1/25,144628,United States,21695,0,0
12/1/25,144629,Brazil,1758,0,0
12/1/25,144630,Brazil,1806,0,0
12/1/25,144631,Brazil,1791,0,0
12/1/25,144632,Brazil,1784,0,0
12/1/25,144633,Brazil,1809,0,0
12/1/25,144634,Brazil,1761,0,0
12/1/25,144635,Brazil,1735,0,0
12/1/25,144636,Brazil,11,0,0
12/1/25,144637,Brazil,11,0,0
12/1/25,144638,Brazil,5,0,0
12/1/25,150138,Brazil,3,0,0
12/1/25,150139,Brazil,2,0,0
12/1/25,150140,Brazil,5,0,0
12/1/25,150141,Brazil,1,0,0
12/1/25,150142,Brazil,5,0,0
12/1/25,156589,Thailand,270,241,92
12/1/25,156590,Thailand,64,45,22
12/1/25,156591,Philippines,1983,1403,332
12/1/25,156592,Philippines,931,562,246
12/1/25,156593,Thailand,3135,2,2
12/1/25,156594,Thailand,3139,2861,928
12/1/25,156595,Thailand,3044,2,0
12/1/25,156596,Thailand,218,197,67
12/1/25,156597,Thailand,272,236,115
12/1/25,156598,Thailand,61,44,19
12/1/25,156599,Thailand,606,445,144
12/1/25,156600,Thailand,622,461,170
12/1/25,156601,Philippines,1991,1366,315
12/1/25,156602,Philippines,36869,34070,4039
12/1/25,156603,Philippines,36717,34167,3950
12/1/25,156604,Philippines,1094,1044,394
12/1/25,156605,Philippines,1080,1037,399
12/1/25,156606,Vietnam,9112,8241,1235
12/1/25,156607,Vietnam,210,189,204
12/1/25,156608,Vietnam,9123,8286,1272
12/1/25,156609,Vietnam,8926,8078,1188
12/1/25,156610,Vietnam,659,608,512
12/1/25,156611,Vietnam,737,650,560
12/1/25,156612,Malaysia,1538,1355,305
12/1/25,156613,Malaysia,142,69,19
12/1/25,156614,Malaysia,17173,16264,2296
12/1/25,156615,Malaysia,17229,16578,2276
12/1/25,156616,Malaysia,726,655,184
12/1/25,156617,Malaysia,727,480,99
12/1/25,167949,Thailand,3063,2638,916
12/1/25,167950,Thailand,2951,2585,925
12/1/25,167954,Thailand,3060,2771,927
12/1/25,167955,Thailand,3028,2604,852
12/1/25,167959,Thailand,3018,2483,845
12/1/25,167960,Thailand,2972,2632,875
12/1/25,167964,Thailand,3070,2765,964
12/1/25,167965,Thailand,3031,2703,905
12/1/25,167966,Thailand,3006,2672,912
12/1/25,167967,Thailand,2980,2683,902
12/1/25,168254,Philippines,36931,34196,3823
12/1/25,168255,Philippines,36847,34081,3986
12/1/25,168256,Philippines,36999,34294,3833
12/1/25,168257,Philippines,36543,32549,3956
12/1/25,168258,Philippines,36573,33855,3873
12/1/25,168259,Philippines,36513,33891,4007
12/1/25,168260,Philippines,1008,953,373
12/1/25,168261,Philippines,1045,954,354
12/1/25,168262,Philippines,1010,844,341
12/1/25,168263,Philippines,1035,886,360
12/1/25,168264,Philippines,1013,847,347
12/1/25,168265,Philippines,1081,944,365
12/1/25,168330,Vietnam,8703,7982,1226
12/1/25,168331,Vietnam,8643,7876,1145
12/1/25,168332,Vietnam,8669,7942,1163
12/1/25,168333,Vietnam,8873,8050,1220
12/1/25,168334,Vietnam,8557,7809,1187
12/1/25,168335,Vietnam,8620,7867,1139
12/1/25,168336,Vietnam,559,518,450
12/1/25,168337,Vietnam,582,522,453
12/1/25,168338,Vietnam,541,495,438
12/1/25,168339,Vietnam,587,533,446
12/1/25,168340,Vietnam,596,530,439
12/1/25,168341,Vietnam,559,504,416
12/1/25,168431,Malaysia,16467,15768,2135
12/1/25,168432,Malaysia,16673,16063,2306
12/1/25,168433,Malaysia,16475,15936,2154
12/1/25,168434,Malaysia,16422,15426,2046
12/1/25,168435,Malaysia,16267,15448,1945
12/1/25,168436,Malaysia,16398,14159,1979
12/1/25,168437,Malaysia,652,533,130
12/1/25,168438,Malaysia,682,615,159
12/1/25,168439,Malaysia,661,607,179
12/1/25,168440,Malaysia,696,632,169
12/1/25,168441,Malaysia,694,641,169
12/1/25,168442,Malaysia,718,652,179
12/1/25,59036,Chile,5,5,0
12/1/25,59037,Chile,5,4,0
12/1/25,59038,Chile,6,0,0
12/1/25,59039,Chile,8,2,0
12/1/25,59040,Chile,7,6,0
12/1/25,59041,Chile,5,4,0
12/1/25,59042,Chile,7,6,0
12/1/25,59043,Chile,5,4,0
12/1/25,59044,Chile,9,8,0
12/1/25,59045,Chile,4,3,0
12/1/25,59046,Chile,4,3,0
12/1/25,59047,Chile,4,3,0
12/1/25,59048,Chile,5,0,0
12/1/25,59049,Chile,3,2,0
12/1/25,59050,Chile,3,2,0
12/1/25,59051,Chile,5,4,0
12/1/25,59052,Chile,6,5,0
12/1/25,59053,Chile,5,3,0
12/1/25,59054,Chile,2,1,0
12/1/25,59055,Chile,5,4,0
12/1/25,59080,Chile,1,0,0
12/1/25,59081,Chile,1,1,0
12/1/25,59082,Chile,1,0,0
12/1/25,59083,Chile,1,0,0
12/1/25,59084,Chile,1,0,0
12/1/25,59085,Chile,2,0,0
12/1/25,59107,Chile,1,1,0
12/1/25,59108,Chile,1,0,0
12/1/25,59110,Chile,2,2,0
12/1/25,59115,Chile,1,1,0
12/1/25,59139,Chile,1,0,0
12/1/25,59140,Chile,1,0,0
12/1/25,59145,Chile,1,0,0
12/1/25,79726,United States,28051,1754,1518
12/1/25,79727,United States,28283,1562,1337
12/1/25,79728,United States,28169,25426,1590
12/1/25,79779,United States,4111,4110,1516
12/1/25,79780,United States,4109,4109,1562
12/1/25,79781,United States,4046,4045,1471
12/1/25,79782,United States,4035,4035,1501
12/1/25,79783,United States,3988,3988,1485
12/1/25,79801,United States,471408,288033,26506
12/1/25,79803,United States,471510,367888,31330
12/1/25,79804,United States,471492,368161,31082
12/1/25,79805,United States,471042,364764,31047
12/1/25,79806,United States,471271,367630,30893
12/1/25,79807,United States,261673,245437,21334
12/1/25,79808,India,133039,130607,5654
12/1/25,79809,India,152965,149898,11017
12/1/25,79810,India,152098,149038,10824
12/1/25,79811,India,151854,148814,10736
12/1/25,79812,India,151945,148907,10711
12/1/25,79813,India,149497,142635,7014
12/1/25,79814,India,151818,40538,10543
12/1/25,79815,India,152061,149047,10761
12/1/25,80709,United States,28178,27467,2079
12/1/25,80711,United States,28153,27420,2113
12/1/25,80712,United States,28206,27505,2002
12/1/25,80713,United States,28296,27585,2135
12/1/25,80718,India,39402,37154,11544
12/1/25,80720,India,39158,24739,9054
12/1/25,80721,India,39328,37084,11414
12/1/25,80722,India,40745,38543,12037
12/1/25,80724,India,40932,38527,11734
12/1/25,82739,Brazil,10373,8884,1293
12/1/25,82814,Brazil,19323,16188,2196
12/1/25,82815,Brazil,10168,8715,1323
12/1/25,82816,Brazil,19025,16103,2181
12/1/25,82817,Brazil,19163,16154,2174
12/1/25,82818,Brazil,19531,16642,2296
12/1/25,82819,Brazil,19086,16157,2192
12/1/25,82820,Brazil,19134,14137,2007
12/1/25,82821,Brazil,19635,16631,2233
12/1/25,82823,Brazil,12501,1251,712
12/1/25,82884,Indonesia,87080,77116,32855
12/1/25,82885,Indonesia,58912,50816,21057
12/1/25,82886,Indonesia,87341,66430,29501
12/1/25,82887,Indonesia,86951,77152,32740
12/1/25,82888,Indonesia,58967,43664,19369
12/1/25,82889,Indonesia,87202,77411,32984
12/1/25,82890,Indonesia,58746,43459,19453
12/1/25,82892,Indonesia,87268,77433,32978
12/1/25,82893,Indonesia,87094,77263,33105
12/1/25,82904,Bangladesh,9,0,0
12/1/25,82905,Mexico,10480,7331,687
12/1/25,82910,Canada,3813,2997,369
12/1/25,82911,Bangladesh,28,28,24
12/1/25,82912,Bangladesh,24,24,18
12/1/25,82913,Bangladesh,28,0,0
12/1/25,82914,Bangladesh,23,23,17
12/1/25,82915,Bangladesh,19,1,1
12/1/25,82916,Bangladesh,23,23,18
12/1/25,82917,Bangladesh,25,0,0
12/1/25,82918,Bangladesh,28,28,25
12/1/25,82919,Bangladesh,20,20,17
12/1/25,82920,Bangladesh,26,26,22
12/1/25,82921,Bangladesh,4,4,4
12/1/25,82922,Bangladesh,6,6,6
12/1/25,82923,Bangladesh,11,11,11
12/1/25,82924,Bangladesh,7,7,7
12/1/25,82925,Bangladesh,6,6,6
12/1/25,82926,Bangladesh,14,14,14
12/1/25,82927,Bangladesh,6,0,0
12/1/25,82928,Bangladesh,11,11,11
12/1/25,82929,Bangladesh,11,11,11
12/1/25,82930,Bangladesh,7,0,0
12/1/25,82936,United States,471837,368283,31432
12/1/25,82937,United States,261816,243682,21541
12/1/25,82939,United States,470431,367115,31024
12/1/25,82943,United States,247588,240245,21246
12/1/25,82944,United States,470555,367395,31168
12/1/25,82945,United States,471614,367733,31251
12/1/25,82946,India,151935,148857,10795
12/1/25,82947,India,132502,130189,5502
12/1/25,82948,India,149615,33413,4705
12/1/25,82949,India,149415,146331,7252
12/1/25,82950,India,134912,18782,4511
12/1/25,82951,India,151951,148959,10905
12/1/25,82952,India,132081,18406,3177
12/1/25,82953,India,130017,127115,5270
12/1/25,82954,India,151760,148726,10797
12/1/25,82955,India,149843,146814,7203
12/1/25,83121,United States,4192,4192,1536
12/1/25,83123,United States,4105,4105,1521
12/1/25,83124,United States,4082,4082,1477
12/1/25,83125,United States,4038,4038,1490
12/1/25,83126,United States,4244,4244,1596
12/1/25,83129,United States,4019,4019,1491
12/1/25,83130,United States,4115,4115,1582
12/1/25,84266,Saudi Arabia,1,1,1
12/1/25,84268,Saudi Arabia,1,1,0
12/1/25,84271,Saudi Arabia,1453,1428,429
12/1/25,84274,Saudi Arabia,1438,1187,460
12/1/25,84276,Saudi Arabia,1396,1369,470
12/1/25,84328,United States,28458,27736,2090
12/1/25,84329,United States,28032,3531,1731
12/1/25,84336,India,41105,38796,11840
12/1/25,84338,India,39378,24912,9164
12/1/25,84339,India,39460,23607,8906
12/1/25,84341,India,41156,38871,12128
12/1/25,84342,India,41248,26127,9424
12/1/25,84343,India,40996,38773,12022
12/1/25,84357,India,41158,37621,11895
12/1/25,84359,India,40662,26025,9447
12/1/25,84360,India,40696,24622,9191
12/1/25,84363,India,40786,26158,9584
12/1/25,89422,Canada,139479,110500,8002
12/1/25,89423,Canada,138250,109257,8059
12/1/25,89424,Canada,77001,69000,4654
12/1/25,89425,Canada,143813,81272,7364
12/1/25,89426,Canada,139073,110411,7973
12/1/25,89427,Canada,76964,39793,4242
12/1/25,89428,Canada,138759,110008,7987
12/1/25,89429,Canada,76999,39748,4134
12/1/25,89430,Canada,71645,66826,4616
12/1/25,89431,Canada,138993,110389,7897
12/1/25,89432,Canada,138642,109788,8155
12/1/25,89459,Philippines,67946,63961,6759
12/1/25,89460,Philippines,97462,68011,7600
12/1/25,89461,Philippines,97813,93319,8560
12/1/25,89466,India,5481,5453,2674
12/1/25,89470,India,5631,5610,2824
12/1/25,89472,India,5631,5610,2740
12/1/25,89473,India,5636,5620,2767
12/1/25,89485,India,5596,5579,2749
12/1/25,89488,India,5631,5605,2738
12/1/25,89490,India,5530,5507,2755
12/1/25,89491,India,5514,5486,2735
12/1/25,89493,India,5579,5554,2758
12/1/25,89494,India,5607,5586,2726
12/1/25,89495,India,5623,5595,2683
12/1/25,89496,India,5659,5642,2839
12/1/25,89497,India,5652,5623,2787
12/1/25,89498,India,5550,5523,2694
12/1/25,89499,India,5560,5532,2781
12/1/25,89500,India,5519,5500,2730
12/1/25,89545,United States,4111,4110,1458
12/1/25,89546,United States,4100,4100,1488
12/1/25,89550,United States,4232,4232,1641
12/1/25,89551,United States,4209,4208,1596
12/1/25,89553,United States,4137,4137,1496
12/1/25,89554,United States,4055,4055,1516
12/1/25,89565,United States,4108,4107,1461
12/1/25,89566,United States,4211,4211,1561
12/1/25,89567,United States,4059,4059,1507
12/1/25,89568,United States,4117,4117,1582
12/1/25,89569,United States,4108,4108,1566
12/1/25,89619,United States,446835,350983,31339
12/1/25,89620,United States,448757,353410,31698
12/1/25,89625,United States,449731,353035,31365
12/1/25,89631,United States,250446,232545,21264
12/1/25,89632,United States,444448,348783,31051
12/1/25,90338,United States,1,1,0
12/1/25,90359,United States,497,389,46
12/1/25,90360,United States,538,428,62
12/1/25,90361,United States,486,392,53
12/1/25,90362,United States,228,138,19
12/1/25,90363,United States,479,372,63
12/1/25,90364,United States,288,263,31
12/1/25,90365,United States,423,416,12
12/1/25,90366,United States,459,37,0
12/1/25,90367,United States,413,413,6
12/1/25,90368,United States,372,13,0
12/1/25,90369,United States,446,20,1
12/1/25,90370,United States,469,378,51
12/1/25,90371,United States,493,399,52
12/1/25,90372,United States,466,366,59
12/1/25,90373,United States,269,250,22
12/1/25,90374,United States,259,154,20
12/1/25,90375,United States,494,383,48
12/1/25,90376,United States,484,373,46
12/1/25,90377,United States,496,396,54
12/1/25,90378,United States,284,264,34
12/1/25,90379,United States,282,165,30
12/1/25,90380,United States,598,489,82
12/1/25,90381,United States,543,441,61
12/1/25,90382,United States,281,258,41
12/1/25,90383,United States,296,149,22
12/1/25,90384,United States,569,448,92
12/1/25,90385,United States,296,151,20
12/1/25,90386,United States,546,443,61
12/1/25,90387,United States,535,298,52
12/1/25,90388,United States,286,247,31
12/1/25,90389,United States,585,464,76
12/1/25,90390,United States,284,269,32
12/1/25,90391,United States,557,432,57
12/1/25,90392,United States,597,468,83
12/1/25,90393,United States,551,446,73
12/1/25,90394,United States,568,462,72
12/1/25,90395,United States,532,423,72
12/1/25,90396,United States,599,355,70
12/1/25,90397,United States,565,448,66
12/1/25,90399,United States,1,1,0
12/1/25,90400,United States,1,0,0
12/1/25,90401,United States,3,3,0
12/1/25,90402,United States,2,0,0
12/1/25,90408,United States,1,1,0
12/1/25,90413,United States,1,0,0
12/1/25,90414,United States,2,2,0
12/1/25,90418,United States,5,1,1
12/1/25,90419,United States,1,0,0
12/1/25,90420,United States,2,2,0
12/1/25,90421,United States,1,0,0
12/1/25,90422,United States,1,1,2
12/1/25,90423,United States,2,0,0
12/1/25,90424,United States,3,3,4
12/1/25,90425,United States,3,0,0
12/1/25,90426,United States,1,1,1
12/1/25,90427,United States,3,3,1
12/1/25,90428,United States,4,4,2
12/1/25,90429,United States,3,3,3
12/1/25,90430,United States,1,1,1
12/1/25,90431,United States,3,3,4
12/1/25,90433,United States,3,3,1
12/1/25,90434,United States,1,0,0
12/1/25,90435,United States,1,1,0
12/1/25,90436,United States,269476,212341,4698
12/1/25,90447,United States,270648,212665,4811
12/1/25,90458,United States,284734,222563,7901
12/1/25,90462,United States,159803,91874,4687
12/1/25,90463,United States,283862,221663,7841
12/1/25,90464,United States,284788,159669,6633
12/1/25,90466,United States,284709,221615,8102
12/1/25,90468,United States,284666,222131,7958
12/1/25,90469,United States,284748,220325,7948
12/1/25,90470,United States,285034,222736,7913
12/1/25,92791,Canada,3709,2817,373
12/1/25,93490,Japan,4014,3844,430
12/1/25,93490,Philippines,639,609,224
12/1/25,93490,South Korea,394,333,113
12/1/25,93494,Japan,4084,3940,437
12/1/25,93494,Philippines,630,608,217
12/1/25,93494,South Korea,401,337,111
12/1/25,93495,Japan,4041,3881,417
12/1/25,93495,Philippines,631,597,229
12/1/25,93495,South Korea,360,297,109
12/1/25,93496,Japan,4053,3697,427
12/1/25,93496,Philippines,629,468,222
12/1/25,93496,South Korea,387,318,110
12/1/25,93498,Japan,4021,3833,462
12/1/25,93498,Philippines,610,573,216
12/1/25,93498,South Korea,364,298,95
12/1/25,95933,India,40967,39766,14200
12/1/25,95955,India,36622,35657,13055
12/1/25,95956,India,40219,39079,13846
12/1/25,96105,India,73790,50255,17819
12/1/25,96106,India,73249,49633,17439
12/1/25,96107,India,73318,69460,20749
12/1/25,96109,India,40632,39460,13950
12/1/25,96110,India,41031,39889,14304
12/1/25,96111,India,36476,35493,13157
12/1/25,96369,United States,20994,20994,6993
12/1/25,97342,Saudi Arabia,1,1,0
12/1/25,97343,Saudi Arabia,1,1,0
12/1/25,97344,Saudi Arabia,1,0,0
12/1/25,97345,Saudi Arabia,2,2,1
