#Day,Country,Buyer account ID,Hour,Reached queries,Bid requests,Bids,Bids in auction,Auctions won,Successful responses,Inventory matches,Impressions,Clicks
12/16/25,Cambodia,6634662463,22,0,7344540,0,0,0,7337700,8356220,0,0
12/16/25,Cambodia,6634662463,23,0,6911040,0,0,0,6904020,7854110,0,0
12/16/25,Unknown Region,6634662463,00,0,0,0,0,0,0,10,0,0
12/16/25,Unknown Region,6634662463,01,0,0,0,0,0,0,40,0,0
12/16/25,Unknown Region,6634662463,02,0,0,0,0,0,0,110,0,0
12/16/25,Unknown Region,6634662463,03,0,0,0,0,0,0,20,0,0
12/16/25,Unknown Region,6634662463,04,0,0,0,0,0,0,60,0,0
12/16/25,Unknown Region,6634662463,05,0,0,0,0,0,0,40,0,0
12/16/25,Unknown Region,6634662463,06,0,0,0,0,0,0,20,0,0
12/16/25,Unknown Region,6634662463,07,0,0,0,0,0,0,30,0,0
12/16/25,Unknown Region,6634662463,08,0,0,0,0,0,0,20,0,0
12/16/25,Unknown Region,6634662463,09,0,0,0,0,0,0,20,0,0
12/16/25,Unknown Region,6634662463,11,0,0,0,0,0,0,10,0,0
12/16/25,Unknown Region,6634662463,12,0,0,0,0,0,0,30,0,0
12/16/25,Unknown Region,6634662463,13,0,0,0,0,0,0,10,0,0
12/16/25,Unknown Region,6634662463,14,0,0,0,0,0,0,30,0,0
12/16/25,Unknown Region,6634662463,17,0,0,0,0,0,0,10,0,0
12/16/25,Unknown Region,6634662463,18,0,0,0,0,0,0,10,0,0
12/16/25,Unknown Region,6634662463,19,0,0,0,0,0,0,10,0,0
12/16/25,Unknown Region,6634662463,20,0,0,0,0,0,0,10,0,0
12/16/25,Unknown Region,6634662463,22,0,0,0,0,0,0,10,0,0
12/16/25,Unknown Region,6634662463,23,0,0,0,0,0,0,40,0,0
12/16/25,Vietnam,6634662463,00,298949,55335570,4406686,4305897,241955,55309630,65034320,98076,689
12/16/25,Vietnam,6634662463,01,348972,65360240,5114101,5017763,292076,65329790,77198060,119030,966
12/16/25,Vietnam,6634662463,02,430997,75639960,5787062,5680151,358741,75601370,97302170,138670,1192
12/16/25,Vietnam,6634662463,03,529325,76718540,6860871,6733462,442878,76680690,117880100,179144,1581
12/16/25,Vietnam,6634662463,04,530312,77069350,6931048,6782983,432314,77044220,134986090,180955,1678
12/16/25,Vietnam,6634662463,05,529523,77045960,6702969,6539974,437525,77009730,142551510,179592,1701
12/16/25,Vietnam,6634662463,06,521084,78060800,6169368,6028384,435775,78014950,129284660,164995,1499
12/16/25,Vietnam,6634662463,07,373296,72743830,4444287,4339609,320442,72697460,93448710,119272,1104
12/16/25,Vietnam,6634662463,08,280290,46692940,2623369,2554854,239184,46646580,57156440,85422,875
12/16/25,Vietnam,6634662463,09,151866,25932260,1565896,1526257,131148,25890920,31904590,39681,452
12/16/25,Vietnam,6634662463,10,108376,15673820,1009088,980898,92811,15645810,19347580,28409,288
12/16/25,Vietnam,6634662463,11,93329,11142520,781877,757690,77180,11110240,13586640,23360,282
12/16/25,Vietnam,6634662463,12,78133,9832170,695766,674466,61609,9813300,11802520,19880,187
12/16/25,Vietnam,6634662463,13,110224,13136280,913838,883030,84511,13120180,15603140,28924,286
12/16/25,Vietnam,6634662463,14,185755,26576920,1801483,1749107,139153,26565060,31536850,53213,555
12/16/25,Vietnam,6634662463,15,277662,42116220,2911570,2839272,209718,42106430,50172620,77977,776
12/16/25,Vietnam,6634662463,16,369311,40139040,3368406,3273708,282879,40127050,47542370,123678,924
12/16/25,Vietnam,6634662463,17,391034,43066420,3748745,3657425,304817,43048920,50991300,126287,878
12/16/25,Vietnam,6634662463,18,413263,46419490,4089550,4000675,329561,46390300,54799860,130821,956
12/16/25,Vietnam,6634662463,19,409685,55684170,4441013,4350619,331349,55660000,65532180,131768,1175
12/16/25,Vietnam,6634662463,20,475669,71259070,5226507,5125212,378695,71222340,86108760,150214,1499
12/16/25,Vietnam,6634662463,21,526721,74721160,5498036,5370311,415098,74687690,95560710,159401,1442
12/16/25,Vietnam,6634662463,22,463639,64738880,4685850,4564137,378609,64695870,76702050,142960,1314
12/16/25,Vietnam,6634662463,23,393671,57899930,4476686,4374375,332492,57874350,68028280,124343,996
